1,Carimbo de data/hora,EMPRESA,MOTIVOS,,,,,,
12,27/03/2024 10:13:45,purple cow (purpple),essa agencia é uma piada,,,,,,
13,27/03/2024 15:06:36,@ SECRET ADM PENITENCIÁRIA GOVERNO DE SP,"BASE DE ESCOLTA SANTANA TEM TURNOS ABUSIVOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO, O COMANDO MALUCO ROMANTIZA O BURNOUT E A DEPRESSÃO É VISTA COMO FRAQUEZA DO SERVIDOR.VÁRIAS DENUNCIAS, GOVERNADOR, SECRETÁRIO E DEPUTADOS SABEM E NGM RESOLVE. A FRASE POR LÁ É PEDE PRA SAIR.",,,,,,
14,27/03/2024 09:49:47,/Mottu,"Todos que você puder imaginar. Carga excessiva de trabalho (6 dias por semana, variando de 12 a 16h por dia), salário pífio, zero sentido gestão (cada dia era uma aleatoriedade diferente), ambiente hostil (cadeiras que te dão problema de coluna, barulho que te deixa surdo, sujeira, cheiro de fumaça de motor de moto), cobrança excessiva sobre nenhum tipo de indicador. Resumindo, fuja.",,,,,,
15,25/03/2024 19:04:53,/r/brdev,Só tem frustrado arrogante e chupa rola de IA.,,,,,,
16,25/03/2024 19:07:43,/r/brdev,como aprender a programar,,,,,,
17,27/03/2024 15:14:57,/SECRETARIA ADM PENITENCIÁRIA GOV SP,"BASE DE ESCOLTA SANTANA O COMANDO MALUCO COM SEU PANTERA NEGRA DA SHOPEE EXPLORAM E CAUSAM O ADOENCIMENTO DOS PROFISSIONAIS DE ESCOLTA, TURNOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO,OU EM UM CAMPO DE CONCENTRAÇÃO.",,,,,,
18,27/03/2024 14:59:41,/SECRETARIA DA ADM PENITENCIARIA GOVERNO DE SAO PAULO,"CULTURA EXTREMAMENTE TÓXICA, NOS SENTIMOS EM UM CAMPO DE CONCENTRAÇAO, SOMOS HUMILEMPRESA NOS TRATA COMO SE ESTIVESSEMOS EM UM CAMPO DE CONCENTRAÇAO NA ALEMANHA NAZISTA, TRABALHAMOS 18 HORAS DIA MAS NAO TEMOS HORA EXTRA E NEM BANCO DE HORAS, 200 REAIS DE V.A SEM VT, ALIMENTAÇAO SERVIDA NO LOCAL VEM AZEDA, E É MUITO MAL FEITA, ROMANTIZAM O SOFRIMENTO, O BURNOUT, AS DOENÇAS PSIQUIATRICAS, AUTO ÍNDICE DE ADOECIMENTO E SUICÍDIOS, OS MAIS ANTIGOS E A CHEGIA DIZEM QUE QUEM NAO ESTA SATISFEITO PEDE PRA SAIR. HA UM CERTO GRUPO CHAMADO, COMANDO, QUE MAIS TA PRA ""COMANDO MALUCO"" VIVEM DE FERRAR A VIDA DO TRABALHADOR E O PSICOLOGICO DE TODOS OS QUE NAO ESTAO NA PANELINHA, MAS ESTES VAO EMBORA NO HORARIO CERTO E COMEM BEM. NAO ADIANTA DENUNCIAR, SENTAM NA DENUNCIA E CONTINUAMOS LASCADOS, TODOS SABEM, O SECRETARIO DA PASTA, OS DEUPADOS DA ALESP O GOVERNADOR ABACAXI. TODOS.",,,,,,
19,27/03/2024 12:40:26,"1º Protesto, Registro de Títulos e Documentos e Pessoas Jurídicas de Goiânia","Há uma panelinha dentro da empresa. O setor de TI é coordenado por uma pessoa tóxica, que não trabalha em equipe e que fica te zoando por não conseguir realizar uma atividade ao invés de trabalhar em equipe para que o setor alcance os objetivos. Faz piadinhas sem graças e quando sabe que houve um feedback em relação a sua pessoa para diretoria, o chama na sala para tirar satisfações e te deixar na mão para qualquer atividade. Ao realizar novas atividades com objetivo de ajudá-lo, fica grilado. O sentimento é que estamos tendo uma briga por função dentro do setor, devido a toxidade do rapaz. E o principal não compartilha conhecimento com os colegas do setor.",,,,,,
20,27/03/2024 15:09:42,1SECRETARIA DA ADM PENITENCIÁRIA GOV SP,"BASE DE ESCOLTA SANTANA TEM TURNOS ABUSIVOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO, O COMANDO MALUCO ROMANTIZA O BURNOUT E A DEPRESSÃO É VISTA COMO FRAQUEZA DO SERVIDOR.VÁRIAS DENUNCIAS, GOVERNADOR, SECRETÁRIO E DEPUTADOS SABEM",,,,,,
21,18/03/2024 09:48:27,200dev,"Gestão fraca. Fazem joguinhos com a equipe. Não alinham expectativas. Aceitam que o cliente coloque as regras de carga horária, não respeitando a jornada sindical.",,,,,,
22,25/03/2024 15:02:27,200dev,"Falta de feedbacks, demissão sem explicação nenhuma, falta de empatia com o funcionário",,,,,,
23,26/03/2024 22:22:59,28Tabeliao de Notas de SP,"Ambiente tóxico, a tabeliã age de forma parcial, prejudica clientes e funcionários, aplica punições desnecessárias, rotatividade gigante porque ninguém aguenta trabalhar lá, salário abaixo do mercado, sem benefício inclusive de VR, tabelia usa a sua condição de gênero para justificar suas relações ruins com outros cartórios. Em 2021, mais da metade dos funcionários se demitiram pois estava insustentável trabalhar lá, a esposa da Tabelia transforma tudo em um inferno, não tem bônus e nem gratificação, lá somos apenas números. Salário incompatível, ambiente horrível. FUJA!!",,,,,,
24,25/03/2024 17:08:53,3C Plus,Parece um culto. Galera puxa saco pra subir e salários baixos e discurso meritocrata,,,,,,
25,25/03/2024 17:18:03,3C Plus,"Hipocrisia. Se não puxar o saco da liderança e dos heads, teus dias estarão contados, assim como eu acho que os dias da empresa também estão, já que não param de demitir e fazer de conta que nada está acontecendo. Tentam se pagar de bons só pelos Benefícios, mas a convivência é uma merda!!!!!!!!!!!!!!!!",,,,,,
26,27/03/2024 15:02:04,3CON,Não recomendo se o seu contrato for CLT. Não dão o repasse correto para casos de promoção e horas extras. Não dão suporte para casos burnout. Gestão muito falha e alocações sem acompanhamento. Poucos benefícios e salário abaixo da média do mercado.,,,,,,
27,18/03/2024 10:56:55,3layer,"1- Remoto, mas todos precisam ficar em uma sala, se não está na sala virtual do google, não está trabalhando. 2 - Acumulo de funções, atuo em 3 funções e se não consigo fazer uma delas vou ser exposto e demitido por baixa performance ou irresponsabilidade. 3 - Pj com horário de entrada e saída, com gestores e gerentes. 4- Tem que estar disponível no whatsapp pessoal sempre que te chamarem não importando o dia e horário. 5 - Qualquer pessoa que discorda do ambiente tóxico é tratado como preguiçoso e é demitido em pouco tempo",,,,,,
28,27/03/2024 14:53:39,3M Supermercados,"Horas extras fora do ponto, demora muito tempo para entrega do material de EPI, muitos desvio de funções",,,,,,
29,27/03/2024 10:01:25,42 Rio,zero comprometimento com os alunos.,,,,,,
30,18/03/2024 16:12:24,4all,Baixos salários e alta gestão relapsa e tóxica com os times,,,,,,
31,25/03/2024 18:36:15,4BIO Medicamentos,"Assédio moral, você é humilhado, maltratado a todo tempo, cultura da empresa é péssima, pior lugar para se trabalhar.",,,,,,
32,25/03/2024 18:42:45,4Linux,"Salário nem um pouco competitivo com o mercado, plano de carreira com metas para ganhar migalhas de aumento. Você é promovido comparado ao seu salário, e não ao seu desempenho.",,,,,,
33,25/03/2024 18:46:27,4Linux,"Junior fazendo trabalho de pleno, RH super congestionado resultando em um mal trabalho, ainda mais quando você tem que ver a folha todo mês pra ver se não erraram em algum pagamento.",,,,,,
34,27/03/2024 10:09:10,4MK,"te prometem promoção mas ficam enrolando para promover, pleno ganhando salario maior que sênior não tem um equilíbrio salarial.",,,,,,
35,27/03/2024 09:14:09,4PIX / AlWi,"O diretor é uma piada. O foco é a venda sem pensar na entrega, ou se consegue fazer o que vendeu.",,,,,,
36,25/03/2024 17:17:55,4sys,Gestão sem estrutura,,,,,,
37,27/03/2024 10:11:42,8qualit,a rotatividade de funcionarios é tao alta que falta uma porta giratoria,,,,,,
38,20/03/2024 10:03:24,99 tecnologia,"Racismo, má gestão, machismo",,,,,,
39,18/03/2024 11:19:50,99jobs,"Racismo, hipocrisia, excesso de carga horária, PJ com deveres CLT, sem promoção ou reconhecimento, ambiente de pressão psicológica.",,,,,,
40,25/03/2024 18:30:06,99jobs,"ceo lobo em pele de cordeiro, utiliza pautas sociais pra auto promoção mas discrimina colaboradores negros. estagiários sem contrato. panelinhas pra efetivação",,,,,,
41,27/03/2024 10:03:37,99jobs,"Pj que devia ser clt. Ceo fala de segurança psicológica e é o primeiro a gritar e humilhar as pessoas, não respeita espaço individual e é fofoqueiro, fica causando intriga na empresa fazendo leva e trás",,,,,,
42,27/03/2024 00:18:15,A Fórmula - Farmácia de manipulação,"Diretor abusivo e sem respeito, ambiente toxico e prejudicial a saúde mental do trabalhador. Varios casos de colaboradores que tiveram que fazer acompanhamento psicológico por conta do tamanho da toxicidade",,,,,,
43,25/03/2024 18:45:07,A-LAB,"Demitiram metade dos funcionários. Diretoria Executiva incompetente, fraca. Não sabem vender o que é conteúdo e não seguram as marcas.",,,,,,
44,25/03/2024 18:47:53,A-LAB,Fizeram discurso e metas de diversidade qnd era hype e depois demitiram a maior parte mulheres e pessoas negras. Tudo pela incompetência dos ceos e diretoria. Mas esse continuam lá.,,,,,,
45,25/03/2024 18:50:57,A-Lab,Inventam de um tudo pra parecerem descolados mas é só no discurso mesmo. Não sabem fazer conteúdo.,,,,,,
46,27/03/2024 09:50:51,AAA MOTTU,"Todos que você puder imaginar. Carga excessiva de trabalho (6 dias por semana, variando de 12 a 16h por dia), salário pífio, zero sentido gestão (cada dia era uma aleatoriedade diferente), ambiente hostil (cadeiras que te dão problema de coluna, barulho que te deixa surdo, sujeira, cheiro de fumaça de motor de moto), cobrança excessiva sobre nenhum tipo de indicador. Resumindo, fuja.",,,,,,
47,27/03/2024 14:29:42,Aarin Tech-fin,"Bom, trabalhava uma média de 10/12 hr por dia, tive um burnout e um mes depois do diagnostico fui mandada embora por PERFORMANCE, e me bloquearam da agenda da entrevista demissional...acho que já é o sufuciente",,,,,,
48,25/03/2024 16:41:44,Abai (parla contact Center),"Gestão muito ruim, equipamentos ultrapassados, comentários machistas vindo dos meninos do t.i",,,,,,
49,27/03/2024 02:45:31,Abaré Marketing,"Demissões por conta de espectro político, CEO desrespeita funcionários na frente de todos, Salário baixíssimo, não tem CLT, só PJ. CEO não tem nem faculdade.",,,,,,
50,26/03/2024 23:27:53,ABB,"Uma rocha é mais maleável que a gestão e o RH, esses que querem mais aparecer em rede social, do que de fato trabalhar",,,,,,
51,27/03/2024 00:34:33,ABB,"Machista, racista, homofóbica e cheio de tio do pavê que faz piada com todas as minorias. Prega o ""work life balance"", mas só dá condições de ""work life work"".Gestão retrógrada que não aceita novas ideias e melhorias. Cultura da positividade tóxica. Fazer mais com menos até os funcionários pedirem demissão é lei. Sistema para promoção de cargo com metas e e exigências sem sentido e surreais.",,,,,,
52,26/03/2024 23:22:35,ABB Eletrificação,"O RH está mais preocupado em fingir que ama a empresa e ficar contando os dias que está na empresa (x anos, Y dias e z horas) do que com a saúde mental do funcionário. Preocupado em aparecer do que trabalhar. Ambiente tóxico e sem preparo.",,,,,,
53,26/03/2024 23:16:23,Abbott medical devices,"Gerência totalmente despreparada para lidar com funcionários, ambiente totalmente tóxico. O tratamento e diferente de pessoa para pessoa.",,,,,,
54,27/03/2024 12:14:51,Ability Informatica,"Desrespeito com os funcionarios, os donos são controladores e abusivos, so dão promoções quando você amessa sair, promove brigas entre funcionarios e os proprios donos xingam os funcionarios no meio de todos os outros colaboradores humilhando e destratando.",,,,,,
55,27/03/2024 08:36:36,AbInBev,"Horas extras essesivas, pessoas despraradas em cargos de lideranca, empresa na base do Gohorse, cultura do medo",,,,,,
56,27/03/2024 12:00:52,ABMEX,"Demitiu o time inteiro de tecnologia desligando os acessos, sem ter a decência de fazer ao mínimo uma reunião de desligamento. Gestão completamente despreparada",,,,,,
57,27/03/2024 16:10:42,Abrinq,"A rotatividade de pessoas na área da educação de lá é surreal, ninguém para lá! Pessoas com bons currículos, boa experiência, ninguém consegue permanecer!",,,,,,
58,26/03/2024 22:46:46,Açaí da barragem,"Abuso de poder da gerência, a dona da rede sobrecarregava as funcionárias, além de olhar elas com desdém dos pés a cabeça, se o funcionário perdia o último ônibus ela também pedia pro funcionário dormir na empresa (inclusive já deixou até colchão lá), além disso, muitos funcionários tinham burnout no estabelecimento.",,,,,,
59,18/03/2024 08:44:26,Accenture,"Empresa boa pra amadurecer, mas salário abaixo do mercado e muita pressão em cima dos projetos. É a empresa com maior pressão que já trabalhei e não é de forma saudável",,,,,,
60,18/03/2024 10:04:14,Accenture,Péssimos Salários,,,,,,
61,18/03/2024 10:58:33,Accenture,Má liderança,,,,,,
62,18/03/2024 11:25:59,Accenture,Paga bem mal e tem muita gente encostada,,,,,,
63,18/03/2024 11:37:42,Accenture,"Muitos gestores sem perfil de liderança, que só pensam em resultados e falta empatia com os seus profissionais.",,,,,,
64,18/03/2024 12:03:46,Accenture,"Cultura workaholic - se dizem muito flexíveis, desde que o funcionário esteja totalmente flexível a fazer o que querem quando querem. Presenciei situacoes que considero assédio moral….",,,,,,
65,18/03/2024 12:40:43,Accenture,Atitudes de assédio moral do gestor na frente da equipe.,,,,,,
66,18/03/2024 13:40:50,Accenture,"Carga exaustiva de trabalho, salário baixo",,,,,,
67,18/03/2024 17:22:30,Accenture,"Exploração, enganção pro cliente final... Famoso vende Senior, pra entregar Jr.",,,,,,
68,18/03/2024 18:17:52,Accenture,"Retaliação velada, favoritismos,ambiente tóxico.",,,,,,
69,18/03/2024 19:33:58,Accenture,"Os projetos são vendidos com escopo gigante para serem entregues por equipes reduzidas, com prazos impossíveis de serem cumpridos, o que gera atrito entre clientes e funcionários. Os atritos são resolvidos com novas promessas feitas pelos diretores aos clientes, para que os funcionários virem noites e façam gambiarras pra entregar. No fim, o projeto atrasa, os funcionários se ferram, trabalham sob pressão e condições horríveis (inclusive ergonômicas) e o cliente fica insatisfeito com a entrega final.",,,,,,
70,18/03/2024 20:12:11,Accenture,Suga alma,,,,,,
71,18/03/2024 22:04:05,Accenture,"Altas mentiras durante a contratação. Cargos não refletem tipo de trabalho. Politicamente absurda. Pouquíssima oportunidade para aprender coisas novas, só um monte de burocracia específica da empresa.",,,,,,
72,19/03/2024 04:08:47,Accenture,Te contratam como Júnior e vendem como sênior na cara dura,,,,,,
73,19/03/2024 18:39:31,Accenture,Baixa remuneração. Lhe vendem como senhor e te pagam como júnior. Chefias tóxicas que não são demitidas só pq conseguem oprimir os colaboradores a fazerem horas extras sem limites todos os dias.,,,,,,
74,22/03/2024 12:04:00,Accenture,"otimo combo de beneficios, POREMMMM o salario é muito abaixo do mercado, a empresa tem um monte de dev jr (que já estão a 4 anos como jr e entrado no lugar de plenos em projetos dos clientes) que recebem 2.1k sem contar os descontos da clt (fica uns 1.8k mais ou menos com os descontos). fora a dificuldade que é pra conseguir uma promoção, pois se você não ""baba o ovo"" de ngm vc tem menos chances de ser promovido e SE você for promovido você vai receber ainda assim muito abaixo que em QUALQUER outra consultoria, até a empresa irmã da accenture que é a AVANADE paga mais. fora os treinamentos obrigatorios que são UMA MERDA e pra mim parece mais uma lavagem cerebral do que qualquer outra coisa. um ponto, varios ainda continuam de home office, porem eles só não migraram 100% pro escritorio ainda por que ainda tem um resistência muito grande dos funcionarios, mas eu garanto a você que a maioria que ta indo ou ta sendo OBRIGADA ou se casou com uma bruxa ou um demonio e teve um filho que não queria ter e por isso não suporta ficar em casa (foras os que tem amante no trabalho, que tem um monte de gestor que fica dando encima das jrs no trabalho). tirando esses pontos é uma empresa de consultoria como qualquer outra, oque a torna uma vaga arrombada é que o salario é uma MERDA e tem gente que tem menos experiência que você, menos skills que VOCÊ, que estão em outras empresas ganhando O DOBRO do seu salario. e já é uma empresa conhecida como ""a empresa famosa só pra se ter no curriculo"" mas VARIOS funcionarios assim que recebem uma oferta com um salario menor e menos beneficios METEM O PÉ, tanto que tem grupo com mais de 1k de pessoas no telegram chamado ""libertados da accenture"".",,,,,,
75,25/03/2024 15:47:13,Accenture,"Tive burnout. Cultura workaholic. Fui pra outra empresa ganhar o triplo, fazendo muito menos.",,,,,,
76,25/03/2024 16:30:05,Accenture,"todos os benefícios que eles oferecem deve ter relação com o tanto que eles tiram da gente, uso muito plano de saúde pois deixei de ter depois de começar a trabalhar nessa empresa. Projeto ridículo, demanda absurda, funcionários malucos, liderança ridícula e assim eles conseguem afundar você num nível que até pra sair de lá você desiste, eles te fazem desistir de você.",,,,,,
77,25/03/2024 17:00:11,Accenture,"Lideranças extremamente despreparadas. É comum trabalhar finais de semana por incompência dos gerentes, que não sabem gerir o roadmap. Pessoas incompetentes sendo promovidas por puxarem saco dos gerentes enquanto pessoas competentes não recebem nenhum reconhecimento.",,,,,,
78,25/03/2024 17:22:27,ACCENTURE,Mulheres não são promovidas devido a machismo.,,,,,,
79,25/03/2024 17:31:39,Accenture,"Me deram uma dedada em plena reunião, chamei atenção, fui ao RH e depois de um mês me demitiram.",,,,,,
80,25/03/2024 17:43:17,Accenture,"Paga mal, má liderança, equipes pequenas projetos enormes. Não tem tempo para se aprimorar. Esquemas de hora-projeto simplemente ridículo e predatório. Só com muita terapia e medicamentoS.",,,,,,
81,25/03/2024 17:58:46,Accenture,"A empresa vende que é uma empresa que cuida da saúde mental do funcionário através de programas como o “fique bem”, “gympass” e até adere a flexibilidade de horários, mas ela é extremamente controladora, exige que o funcionário faça muito mais do que ele deveria para que talvez ele possa pensar em ser promovido de 5 em 5 anos. Vi muita gente sendo assediada de forma sutil e ficando calada, vi muita gente adoecendo, tendo crise de pânico por causa do trabalho. Alem disso, eles não costumam promover as pessoas que já estão no projeto há algum tempo, eles costumam trazer pessoas de fora do projeto para serem promovidas na frente daqueles que já estão há mais tempo. É adoecedor trabalhar na Accenture",,,,,,
82,25/03/2024 20:09:53,Accenture,"Manager Director escroto, e machista, os estagiarios ganham mais que um Jr(trabalhando 2 horas menos), e quando o estagiario vira Jr, o salario fica ainda maior do que o JR. Colocam metas demais e quando você não atingue, você não se enquadra e capaz de te tirarem do projeto.",,,,,,
83,25/03/2024 20:12:32,Accenture,"estão obrigando os funcionários de recife, irem presencial, 2x na semana, ou vão tirar do projeto, mesmo o cliente não sendo do estado(ou seja, não ser necessario ir por conta do cliente em si), isso tudo para não fechar o escritorio, e os gerentes e diretores não perderem as regalias de ganhar um carro a cada 4 anos, porque se fechar a sede, para de ganhar esse e outros beneficios",,,,,,
84,27/03/2024 00:17:55,Accenture,"Exploração de funcionários, você deve ficar de plantão e disponível pra empresa 24h mas não pagam plantão (pelo menos no projeto que estava) diziam que não tinha plantão, mas éramos tratados como plantonista. Sem hora pra começar e sem hora pra parar. A única sênior em uma equipe de atendimento de incidentes críticos e o restante estagiários que não tinham oportunidade de crescimento a não ser se eu mesmo tirasse tempo para ensinar alguma coisa, sem plano de carreira, uma colega já estava a 3 anos na empresa com uma salário mínimo sem NENHUM aumento salarial por 3 anos e um PPR mísero de 700 reais, sendo que ela dava totalmente de si . Gestão desorganizada e uma falta de comunicação sem limites. Fiquei pouco tempo e VAZEIIIIII",,,,,,
85,27/03/2024 02:35:43,Accenture,"Panelinha dos ""amigos de infância"", se não fizer parte do bando não sobe e ainda repassam o trabalho dos outros de gestão para níveis mais baixos que não faz parte de suas funções",,,,,,
86,27/03/2024 02:48:48,Accenture,"Dou graças a Deus que alguém criou essa planilha. Podemos começar falando sobre os funcionários fecharem seu lançamento de horas a cada quinzena (completando entre 80h a 88h) semanais, certo? Errado. Ja lancei mais de 150h na mesma quinzena. Essa é a empresa que mais ri na cara do trabalhador e das leis trabalistas. Em dias de migração de ambiente, ja fiz 24h, 16h e 12h de trabalho SEGUIDAS (afinal, se você ta scordado é porque consegue trabalhar). Pessoas que não respeitam seu espaço pessoal, que te ligam nas férias e pede pra logar na maquina, que não pedem plantão e depois te ligam no meio da tarde pedindo favores e te cobrando como se você fosse obrigado a estar em casa na frente do notebook as 14h de um sabado em um feriado prolongado. Amam sobrecarga no mesmo funcionário, a ponto de colocarem ele no plantão sozinho por mais de um mês. Contratam muita gente pelo famoso QI e depois não sustentam quando a pessoa é um lixo de profissional, mas preferem que o funcionário bom peça demissão do que dar o braço a torcer e assumirem que contrataram alguém incompetente. Além disso, muita falha de segurança, varios profissionais usando o mesmo user e mesma senha pra acessar ambientes de produção e desenvolvimento, quando tem algum incidente não conseguem nem saber quem foi o abençoado que fez besteira. Honestamente, poderia passar horas reclamando dessa empresa, depois dessa todas as situações de barril que passei foram FICHINHA porque meu pensamento sempre foi ""na accenture seria pior"". Precisei de muita terapia e medicação pra me adaptar a um ambiente de trabalho estavel e seguro, chorava sempre que entrava e saia no horário achando que ia ser demitida por isso. Accenture é resumida em traumas, pior que qualquer relacionamento abusivo que eu ja tenha passado.",,,,,,
87,27/03/2024 02:57:25,Accenture,"Te contratam como Analista e te colocam em qualquer outra função pagando salario de analista sem nunca arrumar na sua carteira de trabalho (se você é desenvolvedor, dba, engenheiro de software, suporte... não importa, todo mundo pra eles é analista). Eles tem coragem de dar aumento de 1% pra um funcionário, e ainda tem a politica ridicula de que um funcionário so pode ter progressão se o lider dele tambem tiver. Graças a essa politica muita gente péssima sobe de cargo, exatamente assim, montado nas costas do time sem nunca levantar um dedo pra ajudar ele em nada.",,,,,,
88,27/03/2024 08:01:57,Accenture,"Empresa surreal, não respeita o funcionario, salario absurdamente abaixo do mercado, um pleno ganha 2k e um senior 3,5k, o cliente faz você de puta, te desrespeita, grita e sua coordenação não faz nada, inexistente a presença da gerencia, não tem apoio para o crescimento do profissional, você não é incentivado a nada, não tem metas e objetivos, os beneficios são enfadonhos, nunca fui tão desmotivado na minha vida inteira, agradeço a accenture por me dar depressão, ansiedade e obesidade, agradeço a pior liderança que ja vi na minha vida, exemplo do que nunca fazer na vida. Nunca venha para esse lugar, melhor ficar desempregado e morar na rua, vc será mais feliz. Cada dia que venho trabalhar aqui sinto que estou perdendo um pedaço de minha alma.",,,,,,
89,27/03/2024 09:29:49,Accenture,Não consegue seguir escopo contratado pelo cliente,,,,,,
90,27/03/2024 10:14:48,Accenture,"liderança horrivel e incapacitada, te jogam em projetos sem proteção nenhuma, panelinha absurda na equipe de UX.",,,,,,
91,27/03/2024 11:23:42,Accenture,"É excelente pra quem tá começando mas tem que criar casca pq cada projeto reflete uma Accenture diferente. Fiz HE sem remuneração, sofri assédio 2x, vi projetos extremamente desorganizados que repriorizavam as terras dia sim, dia também e sobrecarregaram os funcionários pra no final não entregar quase nada.",,,,,,
92,27/03/2024 13:19:25,Accenture,"Sistema de avaliação pessoal é falho, injusto e sem transparencia.",,,,,,
93,27/03/2024 13:39:03,Accenture,não foi legal o tempo nela. empresa tóxica,,,,,,
94,27/03/2024 15:50:23,Accenture,"Ambiente tóxico, exaustivo mentalmente, te jogam na fogueira em qualquer projeto ( e em áreas diversas )que vai sem o mínimo de treinamento e te exigem conhecimento de Senior. Salários horríveis!!!",,,,,,
95,18/03/2024 09:16:09,Accenture,"Salários baixos, projetos ruins, times mal geridos e promoção demorada. História de ter um mentor de carreira é balela, nunca fui orientada por ninguém no curto período que trabalhei lá",,,,,,
96,18/03/2024 11:14:37,Accenture,"Excesso de horas trabalhadas, falta de empatia com os colaboradores e baixos salarios",,,,,,
97,18/03/2024 11:50:22,Accenture,Assédio moral, longos períodos de trabalho sem horas extras, Mudaram toda a fábrica de software de Alphaville de SP pra Recife pq pagam quase 50% a menos lá pelo mesmo trabalho, assédio começa nas entrevistas, quase não tem negros e mulheres em cargos de liderança,,
98,25/03/2024 17:29:46,Accenture,"Paga absurdamente mal, mentiram na contratação, dizendo que após 1 ano haveria promoção de ""level 12"" para ""level 11"". Na hora da promoção foi dada a desculpa que não poderiam promover pois a empresa não havia dado lucro, devido a guerra da Rússia? No final das contas, após pôr tudo na ponta da caneta, descobri que acabaria ganhando mais do que na accenture (1800 R$) se vendesse minha arte na praia 🏖️.",,,,,,
99,25/03/2024 18:42:13,ACCENTURE,"pagam mal, não valorizam os funcionários",,,,,,
100,27/03/2024 14:55:33,Accenture,Com a compra da Morphus será impossível ser promovido se voce não estiver na mesma panelinha. Talvez a pior compra da Accenture. SAIAM ENQUANTO HÁ TEMPO.,,,,,,
101,27/03/2024 13:59:51,Accenture (Aquisição Harpia Cloud),"Accenture não promove ninguém, só explora. Só é promovido quem é puxa saco. RH da Accenture é despreparado. Sistemas internos ruins. Muita burocracia.",,,,,,
102,18/03/2024 09:30:08,Accenture (projeto Oi),"Após 4 semanas tentando conversar com gestor, ele não tinha nem o que elogiar, nem o que falar mal no feedback,pq nao acompanhava a Squad, apesar de saber pelo cliente que as entregas estavam boas. 3 dias depois forçaram uma semana de férias e me demitiram",,,,,,
103,27/03/2024 08:55:45,Accenture (Santander),"Salários baixos, empresa proibiu os funcionários de fazer hora extra porque as demandas eram absurdas, teve surto de sarampo dentro do Santander e demoraram muito tempo para fazer algo a respeito.",,,,,,
